Country,Year,Sex,Age,Population
World,2020,Female,45-49,237208
World,2021,Female,45-49,236495
China,2018,Female,45-49,61290
China,2019,Female,45-49,59828
China,2020,Female,45-49,57385
China,2021,Female,45-49,54349
India,2018,Female,45-49,37458
India,2019,Female,45-49,38306
India,2020,Female,45-49,39151
India,2021,Female,45-49,39939
Pakistan,2018,Female,45-49,4251
Pakistan,2019,Female,45-49,4342
Pakistan,2020,Female,45-49,4447
Pakistan,2021,Female,45-49,4563
Indonesia,2018,Female,45-49,8647
Indonesia,2019,Female,45-49,8781
Indonesia,2020,Female,45-49,8904
Indonesia,2021,Female,45-49,9022
United States,2018,Female,45-49,10746
United States,2019,Female,45-49,10618
United States,2020,Female,45-49,10417
United States,2021,Female,45-49,10200
World,2022,Female,45-49,235880
China,2022,Female,45-49,51306
India,2022,Female,45-49,40659
Pakistan,2022,Female,45-49,4687
Indonesia,2022,Female,45-49,9136
United States,2022,Female,45-49,10121
World,2018,Male,50-54,214917
World,2019,Male,50-54,217596
World,2020,Male,50-54,221074
World,2021,Male,50-54,224759
China,2018,Male,50-54,58671
China,2019,Male,50-54,59002
China,2020,Male,50-54,59975
China,2021,Male,50-54,60905
India,2018,Male,50-54,34148
India,2019,Male,50-54,34836
India,2020,Male,50-54,35544
India,2021,Male,50-54,36250
Pakistan,2018,Male,50-54,3824
Pakistan,2019,Male,50-54,3854
Pakistan,2020,Male,50-54,3888
Pakistan,2021,Male,50-54,3933
Indonesia,2018,Male,50-54,7643
Indonesia,2019,Male,50-54,7823
Indonesia,2020,Male,50-54,7987
Indonesia,2021,Male,50-54,8123
United States,2018,Male,50-54,10689
United States,2019,Male,50-54,10606
United States,2020,Male,50-54,10614
United States,2021,Male,50-54,10669
World,2022,Male,50-54,228342
China,2022,Male,50-54,61761
India,2022,Male,50-54,36953
Pakistan,2022,Male,50-54,3992
Indonesia,2022,Male,50-54,8245
United States,2022,Male,50-54,10668
World,2018,Female,50-54,216561
World,2019,Female,50-54,218988
World,2020,Female,50-54,222220
World,2021,Female,50-54,225709
China,2018,Female,50-54,58096
China,2019,Female,50-54,58372
China,2020,Female,50-54,59265
China,2021,Female,50-54,60091
India,2018,Female,50-54,32748
India,2019,Female,50-54,33430
India,2020,Female,50-54,34131
India,2021,Female,50-54,34836
Pakistan,2018,Female,50-54,3801
Pakistan,2019,Female,50-54,3847
Pakistan,2020,Female,50-54,3894
Pakistan,2021,Female,50-54,3951
Indonesia,2018,Female,50-54,7641
Indonesia,2019,Female,50-54,7819
Indonesia,2020,Female,50-54,7982
Indonesia,2021,Female,50-54,8119
United States,2018,Female,50-54,10900
United States,2019,Female,50-54,10741
United States,2020,Female,50-54,10690
United States,2021,Female,50-54,10720
World,2022,Female,50-54,229122
China,2022,Female,50-54,60831
India,2022,Female,50-54,35535
Pakistan,2022,Female,50-54,4020
Indonesia,2022,Female,50-54,8243
United States,2022,Female,50-54,10718
World,2018,Male,55-59,175588
World,2019,Male,55-59,183196
World,2020,Male,55-59,190548
World,2021,Male,55-59,197415
China,2018,Male,55-59,38618
China,2019,Male,55-59,43439
China,2020,Male,55-59,48457
China,2021,Male,55-59,53580
India,2018,Male,55-59,28924
India,2019,Male,55-59,29613
India,2020,Male,55-59,30254
India,2021,Male,55-59,30769
Pakistan,2018,Male,55-59,3282
Pakistan,2019,Male,55-59,3343
Pakistan,2020,Male,55-59,3396
Pakistan,2021,Male,55-59,3441
Indonesia,2018,Male,55-59,6203
